-10.79100,0.24600,-10.65900,4.90100,1.16800,-1.74600,-5.98200,8.41400,-3.18200,-0.83800,1.00000
-10.16900,-2.11300,-2.67100,5.97600,-6.39300,-4.70600,1.48000,6.26600,4.24300,-0.73300,1.00000
-9.92500,-3.66200,-4.18800,4.72700,-6.51600,-5.85400,1.59600,6.38900,4.81600,-0.91700,-1.00000
-9.86500,-0.11900,-7.88700,4.48000,3.78700,-2.22200,-6.29600,7.71600,-4.78800,1.71000,-1.00000
-9.83300,1.46900,-10.52000,3.74600,2.30200,-2.61600,-7.04300,8.60700,-5.09000,-1.34300,-1.00000
-9.71300,-0.42000,-10.10500,6.32900,3.22000,-1.06300,-6.53800,7.91100,-3.84500,-1.73900,1.00000
-9.59700,-0.30600,-9.02800,4.71600,-0.84900,-1.64100,-6.56900,8.83800,-2.01900,1.10300,-1.00000
-9.58600,-0.54000,-9.98800,2.89100,0.85900,-2.12300,-6.34700,8.06400,-3.33100,-3.33600,1.00000
-9.51000,0.41300,-10.18400,5.10700,0.18200,0.06500,-8.69500,9.63600,-7.06000,-0.66400,-1.00000
-9.41300,-2.70700,-1.98900,5.29600,-8.42700,-2.33200,1.21000,5.44400,4.49800,-1.14000,1.00000
-9.40800,-1.45600,-2.71500,5.10300,-9.68600,-6.71500,0.72800,7.07900,4.79800,0.25100,1.00000
-9.37100,-1.34100,-10.31000,5.20900,1.22500,-2.09600,-6.72500,8.47100,-2.50700,1.24900,1.00000
-9.32800,-0.66000,-11.96500,4.02300,0.92700,-1.70300,-7.16200,8.17200,-5.04500,-1.00000,1.00000
-9.32300,0.10700,-10.14200,4.54200,2.62900,-1.35800,-8.70200,8.45400,-4.78600,-0.55500,1.00000
-9.27800,0.73000,-9.16800,4.07800,1.68900,-2.00700,-6.50800,8.68100,-4.52800,-0.62600,1.00000
-9.26100,-0.96500,-11.77600,3.29500,1.86700,-0.84300,-7.29100,8.85700,-3.04400,-2.43800,1.00000
-9.24100,-0.36200,-2.99100,4.01300,-8.98900,-6.87400,3.21700,4.96000,5.20500,-1.88800,-1.00000
-9.21000,0.38600,-10.00700,2.60500,1.78900,-1.91400,-6.50100,8.37200,-3.17100,-0.41100,1.00000
-9.16600,-0.67900,-9.95700,7.16800,1.58300,-2.13200,-7.85200,8.35000,-5.00600,-2.45000,1.00000
